npersons,years_in_uni,oldest_age,field,RFCD.Code.1,midpoint,status
2.0,0,66.0,0,270799,0,1
1.0,0,51.0,0,270106,0,0
1.0,0,36.0,0,270708,0,0
1.0,1,46.0,0,270603,0,0
4.0,2,46.0,1,240402,0,1
2.0,0,46.0,0,270603,0,0
1.0,0,36.0,2,250103,0,1
2.0,1,45.0,0,270603,0,1
1.0,0,35.0,3,380107,0,1
2.0,0,51.0,0,270203,0,1
3.0,0,72.0,3,380199,0,1
4.0,2,41.0,1,240401,0,1
1.0,2,35.0,1,240101,0,1
2.0,0,56.0,3,380303,0,0
2.0,0,56.0,3,380201,0,1
2.0,0,52.0,0,270199,0,1
3.0,0,51.0,0,270403,0,1
1.0,0,32.0,0,270602,0,0
1.0,2,61.0,3,380106,0,0
1.0,0,31.0,0,270199,0,1
2.0,0,50.0,0,270708,0,1
2.0,0,61.0,3,380103,0,1
2.0,0,40.0,0,270208,0,0
2.0,0,31.0,0,270203,0,0
1.0,0,27.0,0,270201,0,0
2.0,2,56.0,0,270599,0,1
1.0,0,36.0,0,270702,0,1
4.0,0,51.0,0,270299,0,1
2.0,0,41.0,0,270208,0,0
1.0,0,60.0,3,380107,0,0
2.0,1,45.0,0,270603,0,1
3.0,2,58.0,0,270707,0,1
1.0,0,46.0,0,270103,0,1
1.0,0,31.0,0,270707,0,1
1.0,0,27.0,3,380107,0,0
1.0,1,35.0,0,270108,0,1
3.0,0,41.0,0,270402,0,0
1.0,1,41.0,0,270603,0,1
2.0,1,58.0,3,380199,0,1
2.0,1,38.0,0,270702,0,1
1.0,1,31.0,0,270707,0,0
1.0,0,41.0,0,270603,0,1
2.0,2,55.0,0,270202,0,0
1.0,0,36.0,0,270702,0,0
1.0,0,50.0,0,270104,0,0
1.0,0,35.0,0,270201,0,0
1.0,2,56.0,0,270599,0,0
2.0,0,42.0,0,270402,0,1
1.0,0,36.0,3,380203,0,1
1.0,0,40.0,4,370499,0,1
1.0,1,35.0,0,270103,0,0
2.0,0,41.0,2,250102,0,1
1.0,0,40.0,4,370499,0,0
1.0,2,55.0,0,270603,0,1
2.0,2,32.0,1,240499,0,1
1.0,0,65.0,1,240302,0,0
1.0,0,31.0,0,270205,0,1
1.0,0,27.0,2,250501,0,1
2.0,0,57.0,3,380206,0,1
2.0,2,51.0,0,270101,0,0
1.0,2,56.0,4,370204,0,1
1.0,0,43.0,4,370203,0,0
2.0,0,53.0,0,270603,0,1
1.0,2,33.0,0,270107,0,1
1.0,0,40.0,2,250200,0,1
1.0,0,32.0,4,370601,0,1
3.0,0,51.0,0,270403,0,1
1.0,0,33.0,0,270103,0,1
1.0,2,35.0,0,270304,0,0
1.0,2,46.0,0,270899,0,1
3.0,2,47.0,0,270401,0,1
2.0,2,52.0,0,270504,0,1
2.0,1,41.0,0,270603,0,1
3.0,0,52.0,0,270102,0,0
1.0,0,55.0,0,270402,0,1
2.0,0,62.0,3,380103,0,0
1.0,0,31.0,2,250201,0,1
1.0,0,31.0,0,270603,0,0
1.0,2,47.0,0,270603,0,1
1.0,2,40.0,0,270403,0,1
1.0,2,31.0,3,380101,0,1
2.0,0,46.0,0,270304,0,0
3.0,2,61.0,3,380106,0,1
1.0,2,46.0,0,270499,0,1
3.0,2,41.0,0,270101,0,0
2.0,1,36.0,0,270708,0,1
1.0,0,31.0,0,270401,0,0
1.0,0,36.0,0,270602,0,0
2.0,2,32.0,2,250107,0,1
4.0,0,55.0,4,370603,0,1
1.0,0,41.0,2,250103,0,1
1.0,0,41.0,0,270402,0,1
2.0,1,53.0,0,270799,0,1
1.0,0,45.0,0,270103,0,1
1.0,0,36.0,0,270702,0,0
2.0,2,40.0,0,270401,0,0
2.0,1,45.0,0,270603,0,0
1.0,0,46.0,0,270707,0,1
1.0,2,30.0,2,250104,0,1
1.0,2,36.0,1,240101,0,1
1.0,2,55.0,0,270705,0,1
1.0,0,31.0,0,270103,0,1
2.0,1,46.0,0,270899,0,0
2.0,0,41.0,0,270602,0,1
1.0,2,46.0,0,270703,0,0
2.0,1,46.0,0,270603,0,1
1.0,0,51.0,2,250302,0,0
3.0,2,46.0,0,270304,0,0
2.0,0,72.0,3,380107,0,0
1.0,0,46.0,0,270707,0,1
2.0,1,46.0,0,270603,0,1
2.0,0,46.0,0,270107,0,1
2.0,0,46.0,0,270102,0,0
3.0,2,56.0,0,270106,0,1
2.0,1,36.0,0,270199,0,1
2.0,1,45.0,0,270603,0,1
1.0,0,46.0,0,270401,0,1
2.0,2,48.0,0,270701,0,1
3.0,2,61.0,0,270401,0,0
2.0,2,46.0,0,270602,0,1
3.0,1,47.0,0,270306,0,1
1.0,0,31.0,0,270707,0,1
1.0,2,36.0,1,240101,0,1
5.0,0,47.0,1,240202,0,1
2.0,2,51.0,0,270403,0,1
3.0,0,57.0,0,270504,0,1
3.0,1,57.0,3,380205,0,1
2.0,2,55.0,0,270703,0,1
2.0,0,50.0,0,270708,0,1
1.0,2,30.0,3,380103,0,0
2.0,0,41.0,0,270402,0,1
1.0,0,61.0,4,370302,0,1
3.0,0,46.0,0,270303,0,1
2.0,1,45.0,0,270603,0,1
3.0,2,48.0,1,240499,0,0
1.0,0,36.0,0,270708,0,0
1.0,2,32.0,3,380105,0,1
4.0,0,36.0,2,250103,0,1
2.0,0,41.0,2,250203,0,1
3.0,0,36.0,2,250201,0,1
1.0,0,32.0,0,270602,0,0
1.0,0,36.0,0,270208,0,1
4.0,2,52.0,0,270106,0,1
2.0,0,51.0,2,250201,0,1
1.0,0,38.0,0,270709,0,0
2.0,2,56.0,0,270705,0,1
1.0,2,42.0,4,370601,0,1
4.0,1,43.0,0,270708,0,1
1.0,2,53.0,0,270708,0,1
2.0,0,56.0,3,380101,0,0
3.0,2,51.0,0,270402,0,1
1.0,0,30.0,4,370402,0,1
1.0,1,46.0,0,270102,0,1
1.0,0,31.0,3,380207,0,1
1.0,2,52.0,4,370501,0,0
3.0,0,57.0,0,270504,0,1
2.0,0,50.0,0,270501,0,1
2.0,1,45.0,0,270603,0,1
3.0,2,56.0,2,250103,0,1
3.0,0,37.0,0,270599,0,1
3.0,0,57.0,0,270599,0,1
4.0,2,57.0,0,270499,0,1
2.0,0,43.0,0,270199,0,0
1.0,0,36.0,0,270708,0,1
2.0,1,47.0,0,270102,0,0
4.0,0,53.0,2,250302,0,0
1.0,2,46.0,1,240503,0,1
1.0,1,42.0,0,270299,0,0
1.0,0,40.0,2,250103,0,1
1.0,2,47.0,3,380205,0,1
2.0,1,48.0,0,270203,0,0
1.0,0,31.0,0,270205,0,0
1.0,2,26.0,2,250103,0,0
1.0,2,30.0,3,380103,0,1
1.0,0,31.0,2,250302,0,1
1.0,0,27.0,0,270499,0,1
2.0,0,46.0,0,270201,0,1
1.0,0,31.0,0,270501,0,1
4.0,1,57.0,0,270199,0,0
1.0,0,32.0,3,380105,0,0
2.0,1,41.0,3,380107,0,0
4.0,2,42.0,1,240301,0,0
2.0,2,46.0,0,270802,0,0
3.0,1,46.0,0,270102,0,0
2.0,2,47.0,0,270708,0,1
1.0,2,56.0,0,270299,0,1
1.0,0,41.0,2,250302,0,1
1.0,2,48.0,2,250104,0,1
2.0,2,61.0,0,270105,0,1
3.0,0,37.0,0,270599,0,1
3.0,0,52.0,0,270402,0,1
2.0,0,53.0,0,270402,0,0
3.0,2,57.0,0,270599,0,1
4.0,2,57.0,0,270499,0,1
5.0,0,56.0,4,370603,0,1
1.0,0,33.0,0,270499,0,1
2.0,2,46.0,2,250303,0,0
1.0,2,31.0,1,240499,0,1
2.0,0,38.0,0,270703,0,0
4.0,0,47.0,0,270107,0,1
2.0,2,36.0,0,270208,0,0
2.0,2,52.0,0,270702,0,1
1.0,1,42.0,0,270106,0,0
2.0,2,47.0,0,270708,0,1
3.0,2,68.0,0,270306,0,1
1.0,0,36.0,0,270704,0,1
2.0,1,45.0,0,270603,0,1
2.0,2,67.0,0,270106,0,0
1.0,0,27.0,0,270106,0,1
3.0,2,53.0,0,270402,0,1
2.0,2,43.0,0,270603,0,1
2.0,2,51.0,0,270702,0,1
1.0,0,52.0,4,370107,0,0
2.0,2,48.0,0,270708,0,1
2.0,0,51.0,0,270501,0,1
1.0,0,41.0,0,270603,0,1
1.0,0,36.0,1,240101,0,0
2.0,1,41.0,0,270707,0,1
2.0,0,42.0,2,250203,0,1
4.0,2,40.0,3,380103,0,1
2.0,0,37.0,3,380205,0,1
1.0,2,41.0,1,240499,0,1
2.0,0,43.0,0,270602,0,1
3.0,1,57.0,3,380205,0,1
3.0,2,50.0,0,270501,0,0
1.0,0,31.0,2,250302,0,1
2.0,1,41.0,0,270707,0,1
2.0,2,46.0,0,270602,0,1
1.0,2,56.0,4,370301,0,1
1.0,2,56.0,4,370301,0,1
2.0,1,43.0,0,270103,0,0
2.0,1,45.0,0,270603,0,1
2.0,1,41.0,0,270603,0,0
3.0,2,32.0,1,240499,0,1
1.0,2,56.0,1,240101,0,1
1.0,0,31.0,1,240302,0,1
3.0,0,53.0,0,270402,0,1
4.0,2,58.0,0,270706,0,1
1.0,0,38.0,0,270208,0,1
1.0,0,32.0,1,240201,0,1
4.0,0,36.0,2,250201,0,1
1.0,2,61.0,0,270306,0,1
1.0,0,37.0,1,240402,0,1
1.0,0,32.0,0,270199,0,1
1.0,2,38.0,1,240204,0,0
2.0,0,48.0,0,270106,0,1
3.0,2,37.0,2,250102,0,0
3.0,2,48.0,2,250199,0,0
1.0,0,32.0,0,270402,0,1
1.0,0,32.0,0,270103,0,0
1.0,2,33.0,0,270107,0,1
1.0,0,37.0,0,270401,0,1
1.0,0,32.0,1,240204,0,1
2.0,0,52.0,0,270799,0,1
2.0,2,42.0,0,270603,0,0
1.0,0,31.0,0,270701,0,0
1.0,1,37.0,0,270101,0,1
2.0,0,62.0,0,270210,0,0
2.0,0,37.0,2,250102,0,1
1.0,0,46.0,0,270303,0,0
1.0,1,28.0,0,270403,0,1
1.0,0,38.0,0,270708,0,0
1.0,0,33.0,0,270103,0,0
2.0,0,63.0,0,270599,0,1
1.0,0,32.0,2,250201,0,1
1.0,1,47.0,0,270303,0,1
2.0,0,42.0,0,270602,0,1
1.0,0,32.0,0,270401,0,1
1.0,0,37.0,0,270199,0,1
2.0,0,50.0,0,270708,0,1
2.0,2,52.0,0,270702,0,1
2.0,1,46.0,0,270103,0,0
2.0,0,37.0,0,270499,0,1
1.0,0,27.0,0,270201,0,0
1.0,1,38.0,0,270199,0,0
2.0,1,37.0,0,270702,0,1
1.0,1,46.0,0,270603,0,1
2.0,2,47.0,0,270708,0,1
2.0,2,48.0,0,270703,0,0
2.0,2,46.0,0,270306,0,1
2.0,0,36.0,1,240199,0,1
1.0,0,33.0,3,380103,0,0
1.0,0,40.0,4,370499,0,1
1.0,0,37.0,0,270103,0,0
3.0,1,33.0,0,270501,0,1
3.0,2,51.0,0,270702,0,1
2.0,1,42.0,0,270707,0,0
2.0,0,48.0,1,240101,0,0
2.0,1,33.0,0,270203,0,1
1.0,0,66.0,3,380199,0,1
2.0,1,53.0,0,270203,0,0
2.0,2,53.0,0,270702,0,1
1.0,0,41.0,0,270301,0,0
2.0,1,41.0,0,270603,0,0
1.0,0,42.0,2,250399,0,1
2.0,1,46.0,3,380103,0,1
2.0,1,47.0,1,240201,0,1
4.0,0,41.0,0,270104,0,1
2.0,2,56.0,0,270702,0,1
2.0,2,53.0,0,270702,0,1
4.0,2,58.0,0,270499,0,1
1.0,2,66.0,0,270404,0,0
5.0,0,36.0,1,240101,0,1
2.0,0,51.0,0,270501,0,1
1.0,2,46.0,0,270299,0,1
2.0,2,47.0,0,270708,0,1
2.0,2,47.0,0,270603,0,0
1.0,0,32.0,0,270103,0,1
1.0,0,37.0,0,270602,0,1
2.0,1,56.0,2,250199,0,1
3.0,0,38.0,0,270709,0,1
3.0,0,43.0,0,270602,0,0
3.0,2,52.0,0,270103,0,0
2.0,2,56.0,0,270702,0,1
2.0,2,52.0,0,270702,0,1
3.0,2,56.0,0,270402,0,1
2.0,2,52.0,0,270702,0,1
1.0,1,33.0,0,270299,0,0
2.0,1,56.0,2,250103,0,1
2.0,0,50.0,0,270203,0,0
2.0,2,43.0,0,270103,0,0
3.0,2,57.0,0,270599,0,1
1.0,0,46.0,4,370302,0,1
2.0,0,46.0,0,270107,0,0
3.0,0,50.0,2,250302,0,0
1.0,0,31.0,0,270707,0,1
3.0,2,48.0,1,240204,0,1
2.0,2,43.0,1,240204,0,1
4.0,2,58.0,0,270706,0,1
2.0,0,48.0,3,380201,0,1
6.0,0,61.0,0,270199,0,1
4.0,1,46.0,0,270603,0,1
3.0,0,47.0,0,270105,0,0
2.0,2,48.0,2,250199,0,0
1.0,2,48.0,0,270103,0,1
1.0,0,33.0,0,270402,0,1
1.0,0,33.0,0,270603,0,0
3.0,0,53.0,0,270402,0,1
1.0,0,27.0,0,270201,0,0
4.0,0,56.0,4,370603,0,1
1.0,2,56.0,0,270599,0,1
2.0,0,43.0,0,270602,0,0
3.0,0,43.0,0,270103,0,0
2.0,1,48.0,0,270105,0,1
1.0,2,28.0,0,270103,0,0
2.0,2,38.0,0,270499,0,1
3.0,2,37.0,0,270208,0,1
1.0,0,35.0,0,270103,0,1
3.0,2,55.0,0,270702,0,1
1.0,2,28.0,1,240202,0,1
1.0,0,42.0,0,270301,0,0
3.0,0,57.0,0,270599,0,1
2.0,1,46.0,0,270303,0,1
1.0,2,33.0,3,380107,0,1
1.0,2,46.0,1,240401,0,1
1.0,2,63.0,3,380106,0,1
1.0,1,37.0,1,240201,0,1
2.0,0,47.0,2,250199,0,1
3.0,0,57.0,0,270499,0,0
3.0,2,38.0,2,250105,0,0
2.0,1,46.0,0,270306,0,1
2.0,0,42.0,0,270103,0,0
1.0,2,43.0,4,370601,0,1
1.0,0,38.0,0,270201,0,1
2.0,0,43.0,0,270602,0,0
2.0,2,53.0,0,270504,0,0
1.0,2,31.0,0,270208,0,0
1.0,2,43.0,0,270106,0,1
3.0,2,51.0,0,270702,0,1
1.0,1,33.0,0,270299,0,0
3.0,0,72.0,3,380199,0,1
1.0,0,32.0,0,270401,0,1
3.0,0,33.0,1,240499,0,1
2.0,0,52.0,2,250502,0,1
2.0,0,52.0,0,270106,0,0
2.0,1,37.0,0,270702,0,1
2.0,0,38.0,0,270208,0,1
2.0,1,45.0,0,270603,0,1
2.0,2,47.0,0,270306,0,1
3.0,2,52.0,0,270599,0,0
4.0,2,58.0,0,270499,0,1
4.0,2,47.0,0,270603,0,0
3.0,2,47.0,0,270603,0,0
4.0,0,53.0,0,270203,0,1
2.0,2,43.0,1,240204,0,1
1.0,0,56.0,0,270402,0,1
1.0,0,38.0,0,270602,0,1
4.0,2,58.0,0,270706,0,1
4.0,1,57.0,0,270299,0,1
1.0,0,28.0,0,270299,0,1
3.0,2,46.0,0,270103,0,1
2.0,2,53.0,2,250302,0,0
3.0,0,38.0,0,270703,0,1
2.0,0,47.0,0,270304,0,0
2.0,0,46.0,1,240204,0,1
2.0,0,68.0,0,270708,0,1
3.0,2,67.0,0,270306,0,1
1.0,0,32.0,0,270602,0,0
1.0,0,37.0,0,270303,0,1
1.0,2,33.0,0,270103,0,0
2.0,2,61.0,4,370201,0,1
3.0,2,58.0,0,270708,0,1
1.0,0,42.0,0,270102,0,0
1.0,2,53.0,0,270708,0,1
2.0,0,48.0,0,270106,0,1
3.0,0,38.0,2,250103,0,1
2.0,2,48.0,0,270401,0,1
3.0,2,62.0,3,380108,0,0
1.0,0,37.0,0,270304,0,1
3.0,2,33.0,1,240499,0,1
2.0,0,48.0,0,270303,0,1
1.0,0,33.0,0,270602,0,1
2.0,0,33.0,0,270703,0,0
2.0,0,58.0,0,270103,0,0
1.0,2,58.0,3,380107,0,1
2.0,1,41.0,0,270106,0,0
2.0,2,57.0,0,270199,0,0
1.0,1,27.0,0,270708,0,1
2.0,0,67.0,0,270707,0,1
1.0,0,36.0,2,250301,0,1
1.0,0,32.0,0,270103,0,1
4.0,2,58.0,0,270706,0,0
2.0,2,68.0,0,270106,0,1
1.0,0,42.0,4,370603,0,1
1.0,0,31.0,0,270205,0,1
2.0,0,43.0,0,270699,0,0
1.0,0,38.0,3,380102,0,1
1.0,0,46.0,4,370302,0,1
3.0,0,38.0,2,250201,0,1
2.0,2,28.0,1,240203,0,1
3.0,1,38.0,0,270102,0,1
2.0,0,43.0,0,270106,0,0
1.0,0,47.0,0,270103,0,1
2.0,0,37.0,0,270208,0,0
1.0,0,33.0,0,270603,0,1
2.0,1,43.0,0,270707,0,1
2.0,2,27.0,4,370402,0,1
1.0,0,27.0,0,270106,0,1
5.0,0,48.0,1,240202,0,1
2.0,0,48.0,0,270603,0,0
2.0,2,52.0,0,270504,0,1
3.0,0,37.0,2,250201,0,1
1.0,2,47.0,1,240302,0,1
2.0,2,37.0,0,270708,0,1
3.0,2,43.0,0,270603,0,0
1.0,2,46.0,1,240401,0,1
2.0,1,41.0,0,270303,0,0
4.0,2,38.0,2,250102,0,0
2.0,0,43.0,0,270107,0,0
3.0,0,57.0,3,380106,0,0
1.0,2,53.0,2,250302,0,1
1.0,0,38.0,0,270602,0,1
2.0,0,73.0,3,380105,0,1
4.0,0,41.0,0,270104,0,1
3.0,2,68.0,3,380106,0,1
2.0,2,56.0,0,270708,0,1
2.0,0,38.0,0,270708,0,0
1.0,0,38.0,2,250103,0,0
2.0,0,32.0,0,270203,0,0
2.0,0,63.0,3,380103,0,1
1.0,0,33.0,0,270103,0,1
4.0,2,58.0,2,250301,0,1
1.0,1,42.0,0,270106,0,0
3.0,2,52.0,0,270210,0,1
4.0,1,57.0,0,270199,0,0
2.0,1,56.0,0,270603,0,0
2.0,0,38.0,0,270103,0,1
1.0,2,46.0,0,270708,0,1
4.0,2,47.0,0,270603,0,1
2.0,2,53.0,0,270504,0,1
1.0,1,28.0,0,270403,0,1
